y,z,b
-56.287,-139.891,-106818
-56.315,-140.717,-106820
-56.342,-141.548,-106822
-56.37,-142.406,-106824
-56.398,-143.282,-106826
-56.426,-144.057,-106828
-56.453,-144.75,-106830
-56.481,-145.497,-106832
-56.509,-146.407,-106834
-56.537,-147.557,-106836
-56.565,-148.835,-106838
-56.592,-149.997,-106840
-56.62,-151.053,-106842
-56.648,-152.048,-106844
-56.676,-152.92,-106846
-56.703,-153.632,-106848
-56.731,-154.11,-106850
-56.759,-154.421,-106852
-56.787,-154.568,-106854
-56.815,-154.56,-106856
-56.842,-154.28,-106858
-56.87,-153.711,-106860
-56.898,-152.775,-106862
-56.926,-151.529,-106864
-56.953,-150.016,-106866
-56.981,-148.277,-106868
-57.009,-146.342,-106870
-57.037,-144.214,-106872
-57.065,-141.904,-106874
-57.092,-139.447,-106876
-57.12,-136.931,-106878
-57.148,-134.394,-106880
-57.176,-131.851,-106882
-57.203,-129.372,-106884
-57.231,-126.993,-106886
-57.259,-124.758,-106888
-57.287,-122.642,-106890
-57.315,-120.651,-106892
-57.342,-118.815,-106894
-57.37,-117.093,-106896
-57.398,-115.537,-106898
-57.426,-114.208,-106900
-57.453,-112.982,-106902
-57.481,-111.873,-106904
-57.509,-110.89,-106906
-57.537,-109.963,-106908
-57.565,-109.123,-106910
-57.592,-108.45,-106912
-57.62,-107.963,-106914
-57.648,-107.533,-106916
-57.676,-107.157,-106918
-57.703,-106.916,-106920
-57.731,-107.157,-106922
-57.759,-107.533,-106924
-57.787,-107.961,-106926
-57.815,-108.447,-106928
-57.842,-109.118,-106930
-57.87,-109.958,-106932
-57.898,-110.888,-106934
-57.926,-111.872,-106936
-57.953,-112.981,-106938
-57.981,-114.205,-106940
-58.009,-115.534,-106942
-58.037,-117.092,-106944
-58.065,-118.82,-106946
-58.092,-120.668,-106948
-58.12,-122.659,-106950
-58.148,-124.788,-106952
-58.176,-127.037,-106954
-58.203,-129.427,-106956
-58.231,-131.918,-106958
-58.259,-134.472,-106960
-58.287,-137.027,-106962
-58.315,-139.564,-106964
-58.342,-142.037,-106966
-58.37,-144.369,-106968
-58.398,-146.52,-106970
-58.426,-148.48,-106972
-58.453,-150.234,-106974
-58.481,-151.757,-106976
-58.509,-153.014,-106978
-58.537,-153.956,-106980
-58.565,-154.521,-106982
-58.592,-154.801,-106984
-58.62,-154.807,-106986
-58.648,-154.643,-106988
-58.676,-154.317,-106990
-58.703,-153.829,-106992
-58.731,-153.102,-106994
-58.759,-152.22,-106996
-58.787,-151.235,-106998
-58.815,-150.147,-107000
-58.842,-148.955,-107002
-58.87,-147.665,-107004
-58.898,-146.511,-107006
-58.926,-145.599,-107008
-58.953,-144.862,-107010
-58.981,-144.159,-107012
-59.009,-143.379,-107014
-59.037,-142.527,-107016
-59.065,-141.787,-107018
-59.092,-141.434,-107020
-59.12,-141.504,-107022
-59.148,-141.89,-107024
-59.176,-142.527,-107026
-59.203,-143.295,-107028
-59.231,-144.043,-107030
-59.259,-144.798,-107032
-59.287,-145.494,-107034
-59.315,-146.118,-107036
-59.342,-146.665,-107038
-59.37,-147.143,-107040
-59.398,-147.6,-107042
-59.426,-148.001,-107044
-59.453,-148.331,-107046
-59.481,-148.581,-107048
-59.509,-148.785,-107050
-59.537,-148.95,-107052
-59.565,-149.059,-107054
-59.592,-149.098,-107056
-59.62,-149.069,-107058
-59.648,-148.941,-107060
-59.676,-148.79,-107062
-59.703,-148.59,-107064
-59.731,-148.234,-107066
-59.759,-147.744,-107068
-59.787,-147.117,-107070
-59.815,-146.336,-107072
-59.842,-145.402,-107074
-59.87,-144.305,-107076
-59.898,-143.033,-107078
-59.926,-141.597,-107080
-59.953,-140.007,-107082
-59.981,-138.226,-107084
-60.009,-136.192,-107086
-60.037,-133.855,-107088
-60.065,-131.123,-107090
-60.092,-127.98,-107092
-60.12,-124.304,-107094
-60.148,-120.065,-107096
-60.176,-115.222,-107098
-60.203,-109.742,-107100
-60.231,-103.986,-107102
-60.259,-98.675,-107104
-60.287,-97.097,-107106
-60.315,-97.451,-107108
-60.342,-97.919,-107110
-60.37,-98.494,-107112
-60.398,-99.257,-107114
-60.426,-100.167,-107116
-60.453,-101.178,-107118
-60.481,-102.306,-107120
-60.509,-103.568,-107122
-60.537,-104.981,-107124
-60.565,-106.473,-107126
-60.592,-107.986,-107128
-60.62,-109.532,-107130
-60.648,-111.132,-107132
-60.676,-112.792,-107134
-60.703,-114.486,-107136
-60.731,-116.166,-107138
-60.759,-117.793,-107140
-60.787,-119.358,-107142
-60.815,-120.887,-107144
-60.842,-122.399,-107146
-60.87,-123.931,-107148
-60.898,-125.451,-107150
-60.926,-126.929,-107152
-60.953,-128.364,-107154
-60.981,-129.767,-107156
-61.009,-131.122,-107158
-61.037,-132.373,-107160
-61.065,-133.524,-107162
-61.092,-134.604,-107164
-61.12,-135.584,-107166
-61.148,-136.44,-107168
-61.176,-137.205,-107170
-61.203,-137.887,-107172
-61.231,-138.53,-107174
-61.259,-139.27,-107176
-61.287,-140.094,-107178
-61.315,-140.929,-107180
-61.342,-141.779,-107182
-61.37,-142.667,-107184
-61.398,-143.556,-107186
-61.426,-144.325,-107188
-61.453,-145.005,-107190
-61.481,-145.745,-107192
-61.509,-146.659,-107194
-61.537,-147.798,-107196
-61.565,-149.076,-107198
-61.592,-150.324,-107200
-61.62,-151.462,-107202
-61.648,-152.456,-107204
-61.676,-153.363,-107206
-61.703,-154.12,-107208
-61.731,-154.624,-107210
-61.759,-154.979,-107212
-61.787,-155.189,-107214
-61.815,-155.192,-107216
-61.842,-154.943,-107218
-61.87,-154.414,-107220
-61.898,-153.492,-107222
-61.926,-152.245,-107224
-61.953,-150.72,-107226
-61.981,-148.949,-107228
-62.009,-146.961,-107230
-62.037,-144.772,-107232
-62.065,-142.398,-107234
-62.092,-139.891,-107236
-62.12,-137.31,-107238
-62.148,-134.709,-107240
-62.176,-132.155,-107242
-62.203,-129.637,-107244
-62.231,-127.195,-107246
-62.259,-124.952,-107248
-62.287,-122.769,-107250
-62.315,-120.686,-107252
